date,Negative,Neutral,Positive
2020-03-25,2110,4149,5349
2020-03-26,2180,4172,5103
2020-03-27,2137,3979,5111
2020-03-28,2670,4354,5506
2020-03-29,2319,3891,4925
2020-03-30,2144,3718,4666
2020-03-31,2294,3791,4471
2020-04-01,2009,3268,4164
2020-04-02,1809,3348,4170
2020-04-03,1695,3248,4213
2020-04-04,1479,2910,3679
2020-04-05,1717,4858,5356
2020-04-06,1558,3387,3899
2020-04-07,1552,3155,4063
2020-04-08,1515,3043,4363
2020-04-09,1459,2791,4273
2020-04-10,1660,2989,4051
2020-04-11,1695,3455,4134
2020-04-12,1540,3007,3942
2020-04-13,1418,2835,3549
2020-04-14,1989,4435,4696
2020-04-15,1568,2809,3625
2020-04-16,1544,2905,3863
2020-04-17,1420,2568,3504
2020-04-18,1437,2641,3562
2020-04-19,1441,2636,3468
2020-04-20,1494,2472,3310
2020-04-21,1440,2486,3217
2020-04-22,1415,2316,3353
2020-04-23,1113,2359,3025
2020-04-24,1277,2504,3332
2020-04-25,1342,2415,3184
2020-04-26,1479,2644,3418
2020-04-27,1267,2400,3161
2020-04-28,1184,2300,2913
2020-04-29,1163,1967,2641
2020-04-30,1178,2115,2645
2020-05-01,1519,3134,3638
2020-05-02,1251,2328,3108
2020-05-03,1217,2463,3405
2020-05-04,1546,2213,3025
2020-05-05,1176,2097,2785
2020-05-06,1120,1806,2672
2020-05-07,1308,1969,2631
2020-05-08,1269,1854,2540
2020-05-09,1166,1742,2476
2020-05-10,976,1649,2535
2020-05-11,1162,1883,2542
2020-05-12,1176,2571,3402
2020-05-13,797,1604,2194
2020-05-14,999,1533,2246
2020-05-15,1039,1636,2351
2020-05-16,977,1704,2367
2020-05-17,1216,2358,2664
2020-05-18,1117,1784,2565
2020-05-19,979,1651,2215
2020-05-20,897,1565,1997
2020-05-21,924,1398,2044
2020-05-22,902,1331,1886
2020-05-23,867,1278,1985
2020-05-24,1085,1436,2374
2020-05-25,882,1358,1994
2020-05-26,978,1314,1916
2020-05-27,921,1309,1812
2020-05-28,820,1306,1789
2020-05-29,854,1356,1777
2020-05-30,908,1599,2058
2020-05-31,1039,1818,2359
2020-06-01,813,1257,1752
2020-06-02,753,1159,1496
2020-06-03,752,1174,1765
2020-06-04,742,1079,1523
2020-06-05,768,1073,1673
2020-06-06,814,1084,1550
2020-06-07,922,1319,1778
2020-06-08,796,1274,1765
2020-06-09,835,1230,1756
2020-06-10,889,1187,1691
2020-06-11,3126,5102,6072
2020-06-12,3790,7102,7808
2020-06-13,2833,5168,6299
2020-06-14,3018,5099,6183
