date	time	username	to	replies	retweets	favorites	text	mentions	hashtags	id	permalink	processed_text	sentences_tone	document_tones	sadness	confident	joy	analytical	anger	tentative	fear
2020-03-30	05:32:00	haritsinhgohil		0	0	0	@timesofindia @akshaykumar Over Obsession of America “USA announces $2.9 million package to help India combat COVID-19” its headline of TOI 2.9M$amounting to 22 Cr ₹ while Akshay Kumar alone donating 25 Cr is side line news not appearing beside US aid also WHY R V SO APATHETIC?	@timesofindia @akshaykumar		1244497585462640640	https://twitter.com/haritsinhgohil/status/1244497585462640640	USER_MENTION USER_MENTION obsession america announces million package help india combat headline toi cr akshay kumar alone donating cr side line news appearing beside u aid also r v apathetic		[{'score': 0.589357, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]	1.0						
2020-04-12	11:46:03	kobikashok		0	1	1	CORONAVIRUS PANDEMIC COVIT-19 LIVE WORLD MAP/COUNT INDIA 12.04.2020 17:15 TOTAL CASES : 8730 TOTAL DEATHS : 293 TOTAL RECOVERED : 984 			1249302757925773312	https://twitter.com/kobikashok/status/1249302757925773312	coronavirus pandemic covit19 live world india total case total death total recovered		[{'score': 0.912588, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0					
2020-03-26	12:46:49	mishra_sbr		0	0	0	@mishra_sbr What To do in21 days Do meditation Do pranayam Sing devotional song Read books Talk on mobile to yr friend in village explain precaution to be taken in Corona See u tube picture and devotional channel Pray God corona be stopped in April no extension in May	@mishra_sbr		1243157458899456000	https://twitter.com/mishra_sbr/status/1243157458899456000	USER_MENTION in21 day meditation pranayam sing devotional song read book talk mobile yr friend village explain precaution taken corona see u tube picture devotional channel pray god corona stopped april extension may		[]							
2020-04-05	07:08:31	Nitishah45		9	0	78	My cooking skill is getting better #lockdown #Quarantine		#lockdown #Quarantine	1246696200159391744	https://twitter.com/Nitishah45/status/1246696200159391744	cooking skill getting better lockdown quarantine		[{'score': 0.526812, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-04-04	11:44:06	mohamed65962472		0	0	0	Dear @narendramodi im seeking your reply to my tweets! My uncle who had gone for #TabligiJamaat in Delhi is #Quarantined in one of the hospitals in Haryana! As per the doctor he is tested positive for corona! But they aren’t giving him the report why?@SushmaSwaraj @asadowaisi	@narendramodi @SushmaSwaraj @asadowaisi	#TabligiJamaat #Quarantined	1246403167362920449	https://twitter.com/mohamed65962472/status/1246403167362920449	dear USER_MENTION im seeking reply tweet uncle gone tabligijamaat delhi quarantined one hospital haryana per doctor tested positive corona giving report USER_MENTION		[{'score': 0.735644, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0					
2020-04-07	06:02:16	sourabh_dayma51		0	0	0	LOCKDOWN KI DIKKAT #repost @sourabh_dayma51 ——— TAG | FOLLOW | COMMENTS ( @sourabh_dayma51 ) Follow for More Content ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Follow us (@sourabh_dayma51 )⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ Follow us (@sourabh_dayma51… https://www.instagram.com/p/B-qzYfApIY-/?igshid=fvjxdrhblx99	@sourabh_dayma51 @sourabh_dayma51 @sourabh_dayma51 @sourabh_dayma51	#repost	1247404304505475073	https://twitter.com/sourabh_dayma51/status/1247404304505475073	lockdown ki dikkat repost USER_MENTION tag follow comment USER_MENTION follow content follow u USER_MENTION follow u USER_MENTION URL		[{'score': 0.696169, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-04-02	19:01:17	adeshjain8		0	0	0	Govt launches coronavirus tracker app called Aarogya Setu: Here’s what it does - tech - Hindustan Times - 			1245788412952465410	https://twitter.com/adeshjain8/status/1245788412952465410	govt launch coronavirus tracker app called aarogya setu tech hindustan time		[{'score': 0.69054, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-04-01	16:06:03	harshap	Hirdaramani_Grp	0	2	3	Good work @Hirdaramani_Grp #covid #lka	@Hirdaramani_Grp	#covid #lka	1245381926418108418	https://twitter.com/harshap/status/1245381926418108418	good work USER_MENTION covid lka		[{'score': 0.783196, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-03-29	02:01:10	RaviSankannavar		0	0	0	Waste management an essential public service in the fight to beat COVID-19 #CoronavirusOutbreak #COVID2019 #wastemanagement		#CoronavirusOutbreak #COVID2019 #wastemanagement	1244082140477714434	https://twitter.com/RaviSankannavar/status/1244082140477714434	waste management essential public service fight beat covid19 coronavirusoutbreak covid2019 wastemanagement		[{'score': 0.618842, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0			1.0		
2020-04-10	19:39:29	faizanmunaf		0	0	2	What’s the situation of animals at Karachi Zoo?? Un becharon ki koi update hai? Any idea @ecoist_noor @Kali_Ghata @MariaPtweets #Karachi #KarachiLockdown #Lockdown #KarachiZoo #Pakistan	@ecoist_noor @Kali_Ghata @MariaPtweets	#Karachi #KarachiLockdown #Lockdown #KarachiZoo #Pakistan	1248697125774544896	https://twitter.com/faizanmunaf/status/1248697125774544896	situation animal karachi zoo un becharon ki koi update hai idea USER_MENTION USER_MENTION USER_MENTION karachi karachilockdown lockdown karachizoo pakistan		[]							
2020-04-08	05:48:38	SuryaDannina		0	0	0	Hon'ble Chief Minister of Andhrapradesh @ysjagan , it would be highly useful if the damaged roads were repaired amidst lockdown. #Freetime #India #Lockdown	@ysjagan	#Freetime #India #Lockdown	1247763259362426883	https://twitter.com/SuryaDannina/status/1247763259362426883	honble chief minister andhrapradesh USER_MENTION would highly useful damaged road repaired amidst lockdown freetime india lockdown		[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-03-29	14:45:40	PermanentGypsy		0	0	1	#Lockdown ain’t as bad when your school mates have a live signing session !!! #CountingStars #OneRepublic #nostalgia		#Lockdown #CountingStars #OneRepublic #nostalgia	1244274530312269826	https://twitter.com/PermanentGypsy/status/1244274530312269826	lockdown bad school mate live signing session countingstars onerepublic nostalgia		[{'score': 0.566931, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]	1.0						
2020-04-04	18:14:25	AamadmiIn		0	0	0	"Support Narender Modi Fight Coronavirus (COVID-19) 5th April 2020 ""at 9 PM, for 9 Minutes"" Light Diyas Candles Whatsapp Status DP Quotes Shayari Images Wallpaper. #CoronaKoDhona #Coronavirus #Corona #COVI19 #CoronaDiwali #CoronavirusAgainstFight #Cornaindia #coronavirusindia"		#CoronaKoDhona #Coronavirus #Corona #COVI19 #CoronaDiwali #CoronavirusAgainstFight #Cornaindia #coronavirusindia	1246501393881370625	https://twitter.com/AamadmiIn/status/1246501393881370625	support narender modi fight coronavirus covid19 april pm minute light diyas candle whatsapp status dp quote shayari image wallpaper coronakodhona coronavirus corona covi19 coronadiwali coronavirusagainstfight cornaindia coronavirusindia		[]							
2020-04-01	18:18:51	AzadKhan_M		1	0	0	YOU ARE TAKING TIPS. AND DONATION. DO SOME DONATION AND GIVE YOUR RIDER. ALL THE PROTECTION TO PROTECT FROM COVID19. ALSO PROTECT YOUR VALUABLE COSTUMERS. THIS IS MY REQUEST #Covid_19india		#Covid_19india	1245415344891543553	https://twitter.com/AzadKhan_M/status/1245415344891543553	taking tip donation donation give rider protection protect covid19 also protect valuable costumer request covid_19india		[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-04-05	09:48:57	shivamgour54		0	0	2	"*Overall Protection for the country: @PMOIndia **Protection from Deadly #Covid19India :Doctor &amp; Nurses ***Protection from #covid786: Police ___________ ""Other Countries are fighting with only Covid-19 But India has to fight for both Covid-19 &amp; Covid-786."" "	@PMOIndia	#Covid19India #covid786	1246736575909654528	https://twitter.com/shivamgour54/status/1246736575909654528	protection country USER_MENTION deadly covid19india doctor nurse covid786 police country fighting covid19 india fight covid19 covid786		[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-03-31	09:51:41	raashid_qazi		1	0	2	Other causes of death have gone on paid leave after covid-19 joined the fray.			1244925324644610049	https://twitter.com/raashid_qazi/status/1244925324644610049	cause death gone paid leave covid19 joined fray		[{'score': 0.655754, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-03-31	15:00:38	Pratiush_R	Megha75	1	0	0	My hair also have grown like this. By end of lockdown I might be sporting a ponytail. 			1245003072402632705	https://twitter.com/Pratiush_R/status/1245003072402632705	hair also grown like end lockdown might sporting ponytail		[{'score': 0.677867, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]			1.0			1.0	
2020-03-31	13:27:55	AleemIlahi		0	10	12	Thableeg Jamaat Being Victimised to cover up systemic failures: @PFIOfficial #coronavirus	@PFIOfficial	#coronavirus	1244979741385515011	https://twitter.com/AleemIlahi/status/1244979741385515011	thableeg jamaat victimised cover systemic failure USER_MENTION coronavirus		[{'score': 0.628872, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]	1.0						
2020-04-14	05:35:40	Anujkum93767078		0	0	0	#IndiaFightsCorona In view of the ensuing festivals in the month of April 2020, the Modi Govt has directed all States/UTs to ensure strict compliance of lockdown measures to fight COVID—19 and not allow any social/religious gathering/procession. via NaMo App		#IndiaFightsCorona	1249934325937606657	https://twitter.com/Anujkum93767078/status/1249934325937606657	indiafightscorona view ensuing festival month april modi govt directed ensure strict compliance lockdown measure fight allow via namo app		[{'score': 0.605299, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.865159, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-04-08	05:15:25	DDSingh29674428	aajtak	0	1	2	BREAKING: Tablighi Jamat donates 2100 Coronavirus patients to PM Relief Fund.			1247754903629381635	https://twitter.com/DDSingh29674428/status/1247754903629381635	breaking tablighi jamat donates coronavirus patient pm relief fund		[]							
2020-04-05	18:33:18	Ratnesh11792702		0	0	0	#Celebration of the day with all Indians fight against corona. At 9 PM on 5-04-2020 			1246868534560354304	https://twitter.com/Ratnesh11792702/status/1246868534560354304	celebration day indian fight corona pm		[]							
2020-04-05	04:48:27	jainendra_karn		0	0	0	corruption by our fellow unscrupulous citizens; and when back would help India fight COVID 19.			1246660952319123457	https://twitter.com/jainendra_karn/status/1246660952319123457	corruption fellow unscrupulous citizen back would help india fight covid		[]							
2020-04-04	16:30:08	sscsoftweb		0	0	0	#Coronavirus | Will the crisis make #virtualconsultations go viral in India?:		#Coronavirus #virtualconsultations	1246475148238024704	https://twitter.com/sscsoftweb/status/1246475148238024704	coronavirus crisis make virtualconsultations go viral india		[]							
2020-03-26	07:51:09	Agrosanjay1	NitishKumar	0	0	0	CM please get the facilities reviewed in NMCH Corona Virus center in Patna. minimum or no facillities available.			1243083053158694912	https://twitter.com/Agrosanjay1/status/1243083053158694912	cm please get facility reviewed nmch corona virus center patna minimum facillities available		[]							
