date	time	username	to	replies	retweets	favorites	text	mentions	hashtags	id	permalink	processed_text	sentences_tone	document_tones	sadness	confident	joy	analytical	anger	tentative	fear
2020-04-15	00:34:55	guwahatipost		0	0	0	Assam cops launch ‘Food for All’ scheme for poor and needy during #lockdown 		#lockdown	1250221025003880454	https://twitter.com/guwahatipost/status/1250221025003880454	assam cop launch scheme poor needy lockdown		[{'score': 0.571538, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]	1.0						
2020-04-15	00:49:54	PVRathod3		1	0	0	@cpmggujarat There is a not working mobile application India post since three days. It is must for digital payment on lockdown period sir	@cpmggujarat		1250224796073447426	https://twitter.com/PVRathod3/status/1250224796073447426	USER_MENTION working mobile application india post since three day must digital payment lockdown period sir		[]							
2020-04-15	02:28:26	iVishwalok	Er_KadirAMalik	0	1	1	First question, when @CMOMaharashtra extended lockdown much before till 30 April, then how this happens? Second when it was uncertain about lockdown, how railway can stop booking ticket, third was this crowd has reservation tickets? Because window tickets were not allowed?	@CMOMaharashtra		1250249594333622272	https://twitter.com/iVishwalok/status/1250249594333622272	first question USER_MENTION extended lockdown much till april happens second uncertain lockdown railway stop booking ticket third crowd reservation ticket window ticket allowed		[{'score': 0.775384, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-04-15	03:13:06	KaranPr30040807		0	0	2	@PMOIndia @RajatSharmaLive @yadavakhilesh @CP_SuratCity @dgpgujarat @Mayawati @RahulGandhi @Mayawati @SrBachchan @myogiadityanath this all activites can create more chances of corona please help us to stop all this in society Add SAI DARSHAN SOC NEAR RAMI PARK OPP SUNRISE SCHOOL – at Regent Plaza	@PMOIndia @RajatSharmaLive @yadavakhilesh @CP_SuratCity @dgpgujarat @Mayawati @RahulGandhi @Mayawati @SrBachchan @myogiadityanath		1250260834808299520	https://twitter.com/KaranPr30040807/status/1250260834808299520	USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION USER_MENTION activites create chance corona please help u stop society add sai darshan soc near ramus park opp sunrise school regent plaza		[{'score': 0.667276, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-04-15	04:23:41	JaiHIndtweets	tanwer_m	0	0	0	This msg is for our Hindu countrymen to know the Reality hidden by Indian FakeNews Channels... Reality is world is seeing Modi's India as #Fascist Nation like Hitlers Germany... Where Media is Spreadg all AntiMuslim Discrimination n Hate under ModiGovt #coronavirus 		#Fascist #coronavirus	1250278596179968006	https://twitter.com/JaiHIndtweets/status/1250278596179968006	msg hindu countryman know reality hidden indian fakenews channel reality world seeing modis india fascist nation like hitler germany medium spreadg antimuslim discrimination n hate modigovt coronavirus		[{'score': 0.700601, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.602762, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-04-15	04:40:28	nazirkabiri	JarrettBlanc	0	0	0	Good read on Afghanistan & Coronavirus. Aid cut could cause state collapse &amp; that is not in the best interest of anyone.			1250282820783620099	https://twitter.com/nazirkabiri/status/1250282820783620099	good read afghanistan coronavirus aid cut could cause state collapse best interest anyone		[{'score': 0.554047, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.933436, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]			1.0	1.0		1.0	
2020-04-15	04:43:34	GaneshVMK	TVMohandasPai	0	0	0	Unfortunately K'nataka has placed order for importing #Covid19 testing kits from China 		#Covid19	1250283600928374790	https://twitter.com/GaneshVMK/status/1250283600928374790	unfortunately knataka placed order importing covid19 testing kit china		[]							
2020-04-15	05:08:10	leongkhaiweng	Reuters	0	0	0	IMF better not give the billions Iran asked for to fight Covid-19 if they cant be upfront about their cases.			1250289791058362373	https://twitter.com/leongkhaiweng/status/1250289791058362373	imf better give billion iran asked fight covid19 cant upfront case		[]							
2020-04-15	05:39:15	ShyamlalVishw13	Tejal1410	0	0	0	Do not waste #lockdown.During this precious time read the satsahity books published by Sant Shri Asharamji Bapu ashrams. #AttainSpritualHeightsDuringLockdown		#lockdown #AttainSpritualHeightsDuringLockdown	1250297615599583233	https://twitter.com/ShyamlalVishw13/status/1250297615599583233	waste lockdown.during precious time read satsahity book published sant shri asharamji bapu ashram attainspritualheightsduringlockdown	[{'sentence_id': 0, 'text': 'waste lockdown.during', 'tones': [{'score': 0.511879, 'tone_id': 'anger', 'tone_name': 'Anger'}]}, {'sentence_id': 1, 'text': 'precious time read satsahity book published sant shri asharamji bapu ashram attainspritualheightsduringlockdown', 'tones': [{'score': 0.643509, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]	[]							
2020-04-15	06:29:40	cpaheli		0	0	1	Lockdown birthday !			1250310304908455937	https://twitter.com/cpaheli/status/1250310304908455937	lockdown birthday		[{'score': 0.930968, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-04-15	07:46:21	Abrara_Rageh	AhmedMeiloud	1	0	0	It’s one of the most spoken lanaguages - I’m sure they have the message in different languages in different locations tho. This was in a predominantly English speaking area. All the covid19 material is in at least 4 languages I’ve seen.			1250329600149737477	https://twitter.com/Abrara_Rageh/status/1250329600149737477	one spoken lanaguages sure message different language different location tho predominantly english speaking area covid19 material least language seen		[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0					
