date	time	username	to	replies	retweets	favorites	text	mentions	hashtags	id	permalink	processed_text	sentences_tone	document_tones	sadness	confident	joy	analytical	anger	tentative	fear
2020-06-01	02:47:47	myself_ukm		0	0	0	EARNING IN LOCKDOWN. ELECTRONICS PRODUCTS ARRIVED visit http://www.asort.com &amp; sign up using refferal 215367. Get all VOCAL products at same platform and start earning. @asortworld asort.women asort.preneurs myself_sumank… https://www.instagram.com/p/CA4FHUoHaWC/?igshid=1ev6vsev20jgo	@AsortWorld		1267286695038369795	https://twitter.com/myself_ukm/status/1267286695038369795	earning lockdown electronics product arrived visit URL sign using refferal get vocal product platform start earning USER_MENTION asort.women asort.preneurs URL	[{'sentence_id': 0, 'text': 'earning lockdown electronics product arrived visit URL sign using refferal get vocal product platform start earning USER_MENTION asort.women', 'tones': [{'score': 0.828638, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]}, {'sentence_id': 1, 'text': 'asort.preneurs', 'tones': []}, {'sentence_id': 2, 'text': 'URL', 'tones': []}]	[{'score': 0.924432, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-06-01	05:06:48	disha2791		4	3	23	Looks like a normal day in #Mumbai. This is Eastern Express highway. Too many cars on the road. #mumbairoads #coronavirus #maharashtraunlock		#Mumbai #mumbairoads #coronavirus #maharashtraunlock	1267321679270666241	https://twitter.com/disha2791/status/1267321679270666241	look like normal day mumbai eastern express highway many car road mumbairoads coronavirus maharashtraunlock		[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-06-01	05:25:32	sanjaytirdiya		0	2	2	Everything is quite in #order here... #Citizens are expected to park vehicles in proper place, #employees and all others too .. #Lockdown5 #Lockdown5Guidelines #Lockdown #COVID #COVID19Pandemic #coronavirus #CoronaUpdatesInIndia #CoronaWarriors #StayAlert #StayAtHomeSaveLives – at Bhavnagar Para		#order #Citizens #employees #Lockdown5 #Lockdown5Guidelines #Lockdown #COVID #COVID19Pandemic #coronavirus #CoronaUpdatesInIndia #CoronaWarriors #StayAlert #StayAtHomeSaveLives #StayAtHomeSaveLives	1267326391915339776	https://twitter.com/sanjaytirdiya/status/1267326391915339776	everything quite order citizen expected park vehicle proper place employee others lockdown5 lockdown5guidelines lockdown covid covid19pandemic coronavirus coronaupdatesinindia coronawarriors stayalert stayathomesavelives bhavnagar para		[]							
2020-06-01	08:15:41	Rohitonweb	SushantYadav201	0	0	2	Its okay Lockdown has gotten to his head!			1267369213217234945	https://twitter.com/Rohitonweb/status/1267369213217234945	okay lockdown gotten head		[]							
2020-06-01	09:22:57	trainersandy19		0	0	0	ALL IS WELL THAT ENDS WELL... #thehindu #thehindunewspaper #fitness #trainers #personaltrainer #trivandrumtrainers #trivandrum #u19cricket #u19cricketer #corona #coronalockdown #homeworkout #homeworkouts… https://www.instagram.com/p/CA4yWIbAznT/?igshid=6mbong6xvq1j		#thehindu #thehindunewspaper #fitness #trainers #personaltrainer #trivandrumtrainers #trivandrum #u19cricket #u19cricketer #corona #coronalockdown #homeworkout #homeworkouts	1267386139398361090	https://twitter.com/trainersandy19/status/1267386139398361090	well end well thehindu thehindunewspaper fitness trainer personaltrainer trivandrumtrainers trivandrum u19cricket u19cricketer corona coronalockdown homeworkout URL		[{'score': 0.68902, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-06-01	10:43:53	RONBupdates		10	49	676	New Case Alert: 226 new COVID-19 cases confirmed in Nepal. Now, total number of COVID-19 confirmed cases in Nepal reached to 1798. Source: MoHP Media briefing (4:15 PM)			1267406510251847681	https://twitter.com/RONBupdates/status/1267406510251847681	new case alert new covid19 case confirmed nepal total number covid19 confirmed case nepal reached source mohp medium briefing pm		[{'score': 0.934054, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.563545, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0		1.0			
2020-06-01	11:17:43	magnisbernard		0	1	1	“Not how long, but how well you have lived is the main thing.” . #Quarantine #quotes #quotesoftheday #coronavirus #CoronavirusLockdown #blogging #Blog #bloggerstribe #BloggingGals #lifestyleblogger #traditionallook #PositiveVibes #positive #positivity		#Quarantine #quotes #quotesoftheday #coronavirus #CoronavirusLockdown #blogging #Blog #bloggerstribe #BloggingGals #lifestyleblogger #traditionallook #PositiveVibes #positive #positivity	1267415023183257602	https://twitter.com/magnisbernard/status/1267415023183257602	long well lived main quarantine quote quotesoftheday coronavirus coronaviruslockdown blogging blog bloggerstribe blogginggals lifestyleblogger traditionallook positivevibes positive positivity		[{'score': 0.916644, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.942582, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0	1.0				
2020-06-01	13:46:50	AnnakkavurKesav	RKRadhakrishn	0	0	0	At this unprecedented time it's better to keep same set officers and fight pandemic. If new person is given charge it wud take time for him to understand and act by the time virus increses. TN govt shd rethink transfer of IAS officer.			1267452549688328195	https://twitter.com/AnnakkavurKesav/status/1267452549688328195	unprecedented time better keep set officer fight pandemic new person given charge wud take time understand act time virus increses tn govt shd rethink transfer ia officer		[{'score': 0.773514, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-06-01	13:47:58	asifsuhaf		0	7	14	#Jammu and #Kashmir reported 155 fresh cases of #COVID19 on Monday 01 June 2020, taking the overall number of #coronavirus cases in #JammuKashmir to 2601 (1624 active, 946 recovered, 31 death) .. @news24tvchannel – at Kashmir	@news24tvchannel	#Jammu #Kashmir #COVID19 #coronavirus #JammuKashmir	1267452833520971777	https://twitter.com/asifsuhaf/status/1267452833520971777	jammu kashmir reported fresh case covid19 monday june taking overall number coronavirus case jammukashmir active recovered death USER_MENTION kashmir		[]							
2020-06-01	14:22:30	sumitsureka	anandmahindra	0	0	0	 yoy domestic sales growth during lockdown is superb 			1267461523317948417	https://twitter.com/sumitsureka/status/1267461523317948417	yoy domestic sale growth lockdown superb		[]							
