Topics	Num_of_Documents	Perc_of_Documents
u, day, may, india, due, get, people, n, sir, patient	71683	0.123
people, india, virus, one, govt, please, day, state, country, time	70827	0.1216
case, people, india, virus, today, government, u, death, new_case, delhi	65366	0.1122
india, people, patient, like, day, sir, delhi, time, please, virus	64399	0.1105
one, people, time, please, go, u, need, also, due, govt	60083	0.1031
people, u, please, sir, time, government, fight, app, one, due	58618	0.1006
u, due, fight, time, india, people, today, crisis, need, life	52680	0.0904
govt, home, people, one, fight, india, work, country, time, state	48213	0.0827
time, day, india, virus, case, world, u, country, good, thank	46346	0.0795
help, u, india, virus, people, fight, sir, many, china, due	44475	0.0763
