topic_data,topic_count
"case, people, india, virus, today, government, u, death, new_case, delhi",13806
"govt, home, people, one, fight, india, work, country, time, state",12046
"help, u, india, virus, people, fight, sir, many, china, due",10933
"india, people, patient, like, day, sir, delhi, time, please, virus",14167
"one, people, time, please, go, u, need, also, due, govt",14396
"people, india, virus, one, govt, please, day, state, country, time",15795
"people, u, please, sir, time, government, fight, app, one, due",14481
"time, day, india, virus, case, world, u, country, good, thank",10874
"u, day, may, india, due, get, people, n, sir, patient",17494
"u, due, fight, time, india, people, today, crisis, need, life",11591
